original_prompt,prompt,negative_prompt
a creature with a body of an elephant and a shell of a turtle and wings of a butterfly,"A highly detailed, realistic mythical creature with the body, head, and legs of an elephant, the shell of a turtle, and colorful butterfly wings. The creature's large shell is sturdy and turtle-like, while its wings are intricate and vibrant.","multiple heads, extra tails, unrealistic anatomy, turtle-like legs, unusual colors on the body, turtle-like body, butterfly-shaped body, abstract forms, monochromatic color scheme, stripes or patterns that resemble zebra.,""multiple heads, abstract forms"", unrealistic anatomy"""
a creature with a body of a butterfly and scales of a snake and antennae of an ant,"""A magnificent, mythical creature with the elegant body of a butterfly, covered in detailed and vibrant snake-like scales. It possesses distinct ant-like antennae extending from its head. The creature's wings are large, colorful, and imbue a sense of fantasy, fluttering beautifully against a mystical, enchanting background.""","""Blurry, distorted, overly abstract, missing wings, missing antennae, missing scales, insect body, simple background, plain colors, dull, dark, low resolution, overly complex background, disproportionate features, lack of detail."",""None, blurry, plain colors"", missing scales"""
a creature with a body of a butterfly and a tail of a scorpion and fins of a fish,"A fantastical creature with the body and wings of a butterfly, the tail of a scorpion, and the fins of a fish. Detailed illustration, colorful, high resolution, vibrant colors, intricate patterns, dynamic posture, mythological essence, and bioluminescent features.","Additional limbs, human features, plain background, low detail, simple design, blurry, monochromatic, furniture, buildings, text, extra legs, fur, spikes, robotic elements., text.,additional limbs"
a creature with a body of a deer and a horn of a rhinoceros and fins of a shark,"A majestic fantastical creature with the graceful body of a deer, a prominent horn of a rhinoceros, and sleek fins of a shark, standing proudly with clear, distinct features in a dense, magical forest with lush greenery and vibrant lighting.","Floating, multiple creatures, blurry, indistinct features, gray background, abstract shapes, distorted proportions, incomplete form, deer antlers, overly dark lighting., incomplete form."
a creature with a body of a rhino and a beak of a hawk and legs of a horse,"A fantastical creature with the body of a rhino, the beak of a hawk, and the legs of a horse, realistic style, with detailed textures, standing on a plain background. The creature has a powerful presence with muscular features and natural, animalistic characteristics.","Extra limbs, unrealistic features, incorrect body parts, distortions, cartoonish elements, wings, any bird-like features except the beak, flying creatures, multiple creatures, hybrid features unrelated to rhino, horse, or hawk., flying creatures.,extra limbs"
a creature with a body of a swan and a shell of a crab and claws of an eagle,"A fantastical creature combining a swan's elegant body with the protective shell of a crab and powerful claws of an eagle, featuring majestic wings.","bird head, bird beak, extra legs, additional animals, blurry, distorted, human-like features, background distractions, "
a creature with a body of a turtle and a tail of a horse and wings of a dragon,"A mythical creature with the body of a turtle, the tail of a horse, and large dragon wings in a dense, vibrant fantasy forest with blooming flowers and tall, mystical trees. The creature stands majestically, surrounded by ethereal light.","Double heads, snake-like elements, dragon heads, plain grey background, humanoid features, additional creatures., plain grey background., snake-like elements."
a creature with a body of a snail and a head of a parrot and legs of a cheetah,"A fantastical creature featuring the body of a snail, the head of a parrot, and the legs of a cheetah. The creature maintains the overall shape and structure of a snail, seamlessly blending parrot characteristics for its head and cheetah features for its legs, with vivid colors and natural textures.","Standing position, bird-like body, separate snail, detached elements, off-center head, mismatched textures, unrealistic proportions, floating limbs, two different creatures, distorted body, blurred features, unrealistic colors"
a creature with a body of a moose and a head of an owl and legs of an elephant,"A fantastical creature with the body of a moose, the head of an owl, and the legs of an elephant with smooth transitions between body parts and detailed textures. Realistically rendered with vibrant colors and lifelike features.","Incorrect proportions, disjointed body parts, low detail, blurry image, distorted features, uneven textures, unclear merging of animal traits, unrealistic colors, poorly blended transitions between parts., unclear merging of animal traits.,""incorrect proportions, distorted features"""
a creature with a body of a frog and a wingspan of a vulture and tail of a squirrel,"A fantasy creature with the body of a frog, large wings like those of a vulture, and the tail of a squirrel. This creature should not have any beak, feathers, or a bird head. The wings should be strong and vulture-like without being feathery.","Beak, feathers, bird head, bird wings, bird legs, insect parts, multiple heads, human-like features, mechanical parts, bird legs., bird head."
a creature with a body of a frog and a mane of a lion and legs of a deer,"A mythical creature with the body of a frog, the mane of a lion, and the legs of a deer, standing on a rock, in a lush forest background, detailed, fantasy style.","antlers, wings, extra limbs, abstract shapes, distorted forms, blurry, out-of-focus, feline body, typical lion body, four-legged stance"
a creature with a body of a peacock and a snout of an anteater and wings of a bee,"A fantastical creature with the majestic body of a peacock, a long snout of an anteater, and delicate wings of a bee. The creature is decorated with vibrant, iridescent colors and intricate, detailed textures, blending the exotic beauty of a peacock's feathers with the functionality of a bee's wings and the curiosity-driven snout of an anteater. The creature stands tall, showcasing its colorful peacock feathers, prominent anteater snout, and translucent bee wings.","blurry, unclear features, indistinct, missing snout, no peacock features, missing bee wings, human, no snout, no peacock feathers, no bee wings, indistinguishable, dark colors, unclear details., missing bee wings.,None, no bee wings."
