original_prompt,prompt,negative_prompt
a creature with a body of a goat and a head of a dragonfly and claws of a tiger,"A creature with a goat's body, dragonfly head, and tiger's claws standing on a grassy hill with a clear sky. ","Wings, insect body parts, glowing elements, natural landscape backgrounds., glowing elements."
a creature with a body of an alligator and the wingspan of a condor and legs of a kangaroo,"A fantasy creature with the body of an alligator, the wingspan of a condor, and the legs of a kangaroo, standing in a field under a sunset sky.","Mammals, birds, terrestrial animals without wings, fish, insects, aquatic animals, mythical creatures without reptilian features, separate animals, landscape without creatures., mythical creatures without reptilian features."
a creature with a body of a gorilla and a tail of a rabbit and wings of a dove,"A realistic and detailed creature with the muscular body of a gorilla, the fluffy tail of a rabbit, and the majestic wings of a dove. Perfectly blended features with natural colors and intricate textures.","Cartoonish style, additional body parts, unrealistic colors, low detail, distorted anatomy, human facial features."
a creature with a body of an orca and antennae of a grasshopper and fins of a dolphin,"A creature with the body of an orca, antennae of a grasshopper, and fins of a dolphin, swimming gracefully in the ocean, realistic colors, and proportionate features.","Insects, non-aquatic creatures, irregular antenna shapes, incorrect fin shapes, unrealistic colors, disproportionate features, land or air environment, human-like features.,insects, unrealistic colors."
a creature with a body of a tiger and a wingspan of a condor and a tail of a monkey,"A majestic mythical creature with the powerful body of a tiger, expansive wingspan of a condor, and the dexterous tail of a monkey, standing proudly against a picturesque mountainous backdrop.","Human parts, regular tigers, without wings, without monkey tail, unrealistic colors., regular eagles or condors, purely birds, purely tigers, no mythological creatures."
a creature with a body of a toucan and the tail of a rat and wings of a bat,"A mythical creature with the vibrant body of a toucan, a long rat's tail, and large bat wings, perched on a branch in a mystical forest.","Regular birds, common animals, plain toucan, typical dragon, normal lizards, simple reptiles, standard wings., typical animals, plain toucan."
a creature with a body of a hawk and a beak of a toucan and legs of a cheetah,"A fantastical creature with the body of a hawk, the vibrant beak of a toucan, and the strong legs of a cheetah, perched gracefully on a branch in a lush, green environment with dense foliage and vibrant flora.","Regular hawk, regular toucan, regular cheetah, normal bird, generic animal, plain environment, simple background., regular cheetah."
a creature with a body of a rabbit and a tail of a monkey and fins of a swordfish,"A fantastical creature with the body of a soft and fluffy rabbit, the long and prehensile tail of a monkey, and the sleek and sharp fins of a swordfish for swift swimming. It should have a rabbit's fur texture, a monkey's tail's dexterity, and swordfish fins designed for speed.","Any parts of creatures other than a rabbit, monkey, and swordfish; wings; scales; feathers; humanoid features; reptiles; birds; insects., and swordfish; wings; scales; feathers."
a creature with a body of a bat and a tail of a monkey and claws of an eagle,"A creature with the body of a bat, wings spread wide, featuring the tail of a monkey, and claws of an eagle. Create a hybrid animal with these attributes in a detailed and realistic style.","Human face, human hands, humanoid features, cartoonish style, blurry image"
a creature with a body of a camel and a snout of a pig and scales of a fish,"A fantastical creature with the body of a camel, the snout of a pig, and the scales of a fish, standing in a desert environment, amalgamating the traits seamlessly to create a bizarre and extraordinary appearance.","Fur, feathers, smooth skin, mammal-like features except for the snout, normal camel body parts, a fish, plain camel appearance.,fur"
a creature with a body of a squid and a mane of a lion and tail of a skunk,"A fantastical creature with the body and tentacles of a squid, the mane of a lion, and the bushy tail of a skunk. Highly detailed and realistic, with natural proportions.","Fish-like features, human-like features, cartoonish elements, unrealistic proportions, wooden texture., and unrealistic proportions."
a creature with a body of a parrot and a head of a cat and fins of a dolphin,"A fantastical creature with the vibrant, detailed body of a parrot, the head of a cat, and fins like a dolphin, extremely colorful and intricate.","beak, fish head, plain colors, ordinary bird, ordinary cat, ordinary dolphin., ordinary dolphin"
a creature with a body of a butterfly and legs of a cheetah and wings of a bat,"A fantastical creature combining elements of a butterfly, cheetah, and bat. This creature should have the body of a butterfly adorned with butterfly-inspired patterns, the legs of a cheetah with distinctive spots, and bat-like wings. The design should emphasize natural blending of features while maintaining a mythological look.","Human-like features, unrealistic proportions, additional limbs, blurry details, human facial expressions, cartoonish elements, overly complex designs., blurry details."
a creature with a body of a rooster and a tail of a gecko and claws of a lion,"A fantastical creature with the body of a rooster, the tail of a gecko, and the claws of a lion, standing on a plain background.","Human-like features, extra limbs, unrealistic colors, background elements, exaggerated proportions., background elements."
a creature with a body of a snake and a head of a falcon and legs of a cheetah,"A mythical creature with a snake's body, a falcon's head, and cheetah legs in a realistic style, set in a dark and mysterious environment.","Wings, additional heads, human features, unrealistic colors, dinosaur-like appearance, long neck.,wings"
a creature with a body of a wolf and a beak of a toucan and wings of a bat,"A highly detailed and realistic creature with the body of a wolf, the beak of a toucan, and the wings of a bat, set in a dark night environment illuminated by the moon, emphasizing a mystical and eerie atmosphere.","Separate animals, cartoonish, unrealistic elements, bright daylight, daytime setting., unrealistic."
a creature with a body of a salamander and a snout of a bear and legs of a kangaroo,"A realistic and detailed creature with the body of a salamander, the snout of a bear, and the legs of a kangaroo, standing in a natural habitat.","Human features, cartoon style, extra limbs, unrealistic colors, unnatural environments, exaggerated proportions., unrealistic colors."
a creature with a body of a giraffe and a snout of a pig and fins of a fish,"A mythical creature with the elongated neck and spotted body of a giraffe, a pig's snout, and the fins of a fish extending from its body","Plain giraffe, plain fish, plain pig, animal lacking fins, animal lacking snout, animal lacking elongated neck, bird-like creature, animal lacking snout."
a creature with a body of a sloth and a head of a crocodile and fins of a marlin,"A mythical creature with the body of a sloth with a head of a crocodile and adorned with marlin fins, depicted in a natural environment.","Feathers, spikes, incorrect body shapes, incorrect fins, human-like features., incorrect body parts or fins."
a creature with a body of a buffalo and a beak of a duck and claws of a lobster,"A fantastical creature with the body of a buffalo, the beak of a duck, and claws of a lobster, featuring an integrated seamless design.","No additional animal parts, no tail resembling a lobsters, no extra limbs, no unrealistic proportions, no horns, no anthropomorphic characteristics., no tail resembling a lobster, no unrealistic proportions."
a creature with a body of a seal and a mane of a lion and fins of a goldfish,"A fantastical creature with the sleek, streamlined body of a seal, a majestic, flowing mane of a lion around its head, and large, graceful fins of a goldfish on its sides and tail. The creature is swimming elegantly in a crystal-clear blue underwater environment, with rays of sunlight illuminating its form.","No human features, no other animals, no background distractions, no harsh lighting or shadows, no blurry details, no bubbles or particles in the water, no unnatural colors or elements., no blurry details."
a creature with a body of a camel and a wingspan of a hawk and legs of a cheetah,"A fantastical creature with the robust body and long neck of a camel, powerful wings with a large wingspan like a hawk, and agile, spotted legs similar to those of a cheetah, against an exotic landscape.","Regular camel, incorrect animal parts, dragon-like features, incorrect wings, plain background.,A regular camel"
a creature with a body of a mole and a beak of an eagle and wings of a cockroach,"A detailed and realistic creature with the body of a mole, the beak of an eagle, and the wings of a cockroach, set in a natural background with greenery and a blue sky.","Cartoonish style, oversaturated colors, abstract art, low resolution, additional animals, unrealistic elements.,Insects, low resolution."
a creature with a body of a cobra and a head of a duck and claws of a bear,"A mythical creature with the body of a cobra, the head of a duck, and the claws of a bear, realistic proportions, detailed and lifelike.","Multiple heads, unrealistic proportions, extra limbs, cartoonish style, exaggerated features, non-animal parts., cartoonish style."
a creature with a body of a snail and a head of a parrot and legs of a cheetah,"A fantastical creature with a snail's shell body, a parrot's head with vibrant feathers, and cheetah's agile legs sprinting through a mystical forest.","Normal animals, only snails, only parrots, only cheetahs, plain backgrounds, common forest, realistic colors., solely snails, solely parrots, solely cheetahs."
a creature with a body of a hedgehog and a tail of a scorpion and fins of a whale,"A fantastical creature with the body of a hedgehog, the tail of a scorpion, and the fins of a whale. The body is covered in spines like a hedgehog, and it has prominent fins and a curled, stinger-tipped tail like a scorpion. The environment is an imaginative, alien landscape, with vibrant underwater flora and glowing elements.","Crab-like legs, crustacean appearance, multiple eyes, shark-like features, marine species resemblance., multiple eyes."
a creature with a body of a monkey and a beak of a hummingbird and fins of a whale,"a fantastical creature with the body of a monkey, a colorful hummingbird beak, and the sleek fins of a whale, illustrated with high detail in a fantasy art style, vivid colors, and intricate textures","bird body, fish body, misaligned parts, simple details, muted colors, cartoonish style"
a creature with a body of an elephant and a shell of a turtle and wings of a butterfly,"A fantastical creature with the body of an elephant, a hard and detailed turtle shell on its back, adorned with colorful butterfly wings that are vibrant and iridescent. The setting is a lush magical forest with ethereal lighting and whimsical flora.","Realistic animals without a combination of an elephant body, turtle shell, and butterfly wings; standalone images of butterflies, turtles, or elephants; creatures that do not seamlessly blend an elephant body, turtle shell, and butterfly wings elements; plain or non-imaginative backgrounds.,Anything that doesn't blend elements of an elephant, and butterfly wings; realistic animals without these three features; standalone images of butterflies, or elephants."
a creature with a body of a panda and a beak of a penguin and claws of a tiger,"A realistic, detailed hybrid creature with the body of a panda, the sleek and sharp beak of a penguin, and the powerful claws of a tiger, high-quality, clear features, seamless blend.","cartoonish, unrealistic, low-quality, blurry, missing any specified part (beak, body, or claws)."
a creature with a body of a butterfly and a tail of a scorpion and fins of a fish,"A fantastical creature with the colorful wings of a butterfly, the segmented tail and body of a scorpion with a stinger at the end, and the sleek fins of a fish. It should be vibrant, detailed, and set against an otherworldly background.","Human features, regular animals, plain background, blurry details, unrealistic colors, robotic elements., blurry details."
a creature with a body of a tiger and a wingspan of a dragonfly and antennae of an ant,"A fantastical creature with the body and fur pattern of a tiger, wings resembling those of a dragonfly, and antennae like those of an ant, flying in the sky with clouds in the background.","Insect bodies, non-tiger body patterns, solid-colored wings, non-winged creatures., non-tiger body patterns."
a creature with a body of an iguana and a wingspan of a bat and tail of a dog,"A fantastical creature with the body of an iguana, large bat-like wings, and the tail of a dog. It should have green scales, sharp claws, and distinct, leathery wings. ","Please exclude features from other animals or fantastical influences such as horns, additional limbs, or non-bat-like wings. Avoid any elements that do not resemble an iguana, bat, or dog. Exclude any additional features like extraneous appendages or non-reptilian body parts., or dog."
a creature with a body of a snail and a shell of a turtle and fins of a fish,"A whimsical creature with the body of a snail, the shell of a turtle, and the fins of a fish, blending natural elements into a unique fantasy design, featuring a harmonious blend of green and aquatic colors.","Human features, excessive number of fins, extra limbs, unrealistic colors, exaggerated facial features., unrealistic colors."
a creature with a body of a walrus and a beak of a falcon and antennae of a beetle,"A fantastical creature with the body of a walrus, the beak of a falcon, and the antennae of a beetle, standing in a natural environment. ","None, unrealistic colors, multiple beaks, additional legs, objects floating around, unrealistic anatomy, human-like form., objects in the background."
a creature with a body of a chameleon and a trunk of an elephant and claws of an eagle,"A fantastical creature with the body of a chameleon, the trunk of an elephant, and the claws of an eagle, in vibrant colors and set against a vivid, dynamic background.","Wings, extra limbs, disproportionate sizes, unrelated animal features (such as a beak, lion mane), non-reptile body types, and non-vibrant background elements., and background elements that aren't vibrant."
