original_prompt,prompt,negative_prompt
a snout of an aardvark,"a close-up of an aardvark's snout, detailed texture, brownish hue, isolated","full body, other animals, ears, eyes, background, green grass, head, tusks, teeth"
a gill of a fish,"close-up of a detailed fish gill, intricate textures, in a natural underwater setting","entire fish, other marine creatures, overly bright colors, unrealistic features, fish head, full body shot, full fish, entire body, other fish, fish fins,full fish"
a hoof of a goat,"A close-up image of a goat's hoof on earthy ground. The hoof is detailed and textured, showing natural wear and features. The background is natural and soil-like, accentuating the texture of the hoof.","Human hands, animal faces, full body of the goat, unnatural colors, blurry images, other animals, man-made objects., blurry images."
a talon of a hawk,"A detailed close-up of a hawk's talon, sharp and gripping a branch, with clear textures and natural lighting.","Full body of the hawk, hawk's head, wings, perched on a post, feathers, any part of the hawk other than talon.,Full-body of the hawk, feathers."
a claw of a lobster,"Close-up of a single lobster claw, sharp and detailed, isolated on a white background, realistic lighting, red and textured","Full lobster, ocean, background, multiple claws, water, outdoor setting, orange object, abstract shapes, blurry, out of focus"
a fang of a bat,"""Close-up of a single bat's fang, highly detailed and realistic, with clear texture and sharp edges, focus on the fang only, isolated on a neutral background""","""Cartoon, entire bat, background characters, unrealistic, green background, other parts of the bat, soft focus, blurred, smiling mouth, visible wings, surrounding details"", cute, smiling mouth"",Cartoon"
a feather of a peacock,"A single, detailed peacock feather with vibrant colors, close-up on the feather's intricate patterns.","Multiple feathers, entire peacock, abstract shapes, dull colors.,multiple feathers, dull colors"
a skin of a chameleon,"close-up of colorful chameleon skin, detailed texture, vibrant colors, intricate patterns, high resolution","chameleon face, chameleon eyes, chameleon body, background, scales of other animals"
a horn of a bison,"Close-up of a bison's horn with detailed texture, capturing the intricate patterns and rugged surface of the horn.","Full body of bison, background, landscape, multiple animals, fur, skin.,full body of bison"
a tail of a beaver,"a close-up of a beaver's tail, detailed, realistic texture, natural environment","beaver's face, full body of beaver, otter, water, grassy background, feathers, pink background, dirt, other animals"
a tusk of a walrus,a close-up of a walrus tusk on a plain background,"entire walrus, water, ocean, background scenery, floor, wood, background, red objects, carved wood"
a tusk of an elephant,"Close-up of an elephant tusk, detailed texture, ivory, macro shot","Full body of elephant, face of elephant, background elements, blurred detail"
a tentacle of a jellyfish,"a close-up, highly detailed, underwater image of a single tentacle of a jellyfish, focusing on its texture and patterns, showing intricate and vibrant details of the tentacle's surface ","entire jellyfish, multiple tentacles, ocean surface, full body, other marine creatures, blurry image"
a fur of a rabbit,"Close-up of a soft and fluffy rabbit fur, texture, detailed, fine strands, natural color","Entire rabbit, background, face, ears, eyes, paws, legs, any discernible features other than fur"
a ear of a rabbit,close-up of a rabbit's ear,"full body of rabbit, entire rabbit, background, rabbit face, rabbit eyes, rabbit nose, rabbit head, other body parts"
a claw of a crab,a close-up of a crab claw,"full crab, entire crab, background, other body parts, multiple claws, non-claw elements, blurred details, out of focus, too much background, multiple objects"
a crest of a rooster,"crest of a rooster, detailed emblem, heraldic design, shield background, intricate feathers, vibrant colors, regal appearance, ornate detailing, crowned shield, golden accents, majestic rooster","full rooster body, plain background, low detail, faded colors, simplistic design, mundane elements, dull appearance, no shield, no ornate details, no heraldry, no crown, minimalistic rooster"
a bite of a mosquito,"A mosquito piercing human skin with its proboscis, showing close-up details of the bite area on an arm or leg, realistic, detailed view of the mosquito feeding, visible human skin texture.","Mosquito on lips, mosquito on a leaf, mosquito alone, no human skin, abstract background, biting another part of the body, unrealistic, exaggerated features, incorrect anatomy., abstract background.,mosquito on a leaf, no human"
a eye of an eagle,"A detailed close-up of an eagle's eye, focusing on the texture and color of the iris and feathers around it. High resolution, realistic texture, natural colors.","Full eagle, full body, background, other animals, unrealistic colors, digital artifacts, beak, head crest."
a antenna of an ant,"Close-up macro shot of an ant's antenna, emphasizing intricate details, textures, and patterns, with a smooth, blurred background.","Whole ant, full body, body parts other than antenna, background objects, other insects, wasp, head, eyes, legs, other insects.,whole ant"
a beak of a parrot,"Extreme close-up of a parrot's beak, showcasing its detailed textures and vibrant colors.","Full parrot, background, entire body, feathers, leaves, eyes, head.,full parrot"
a stinger of a bee,A high detail close-up of just the stinger of a bee,"Entire bee, flower, background, face, body, head, legs, wings, antennae, eyes, environment"
a shell of a clam,"A detailed, single half of a clam shell, showing its smooth edges and intricate texture. The shell should be empty and isolated on a clean, minimal background. Ensure the clam shell is shown from a side angle balancing on its curved edge.","A fully open clam with both shells, any marine creatures, other types of shells (e.g. conch shells), artificial backgrounds, cluttered scenes, an upward-facing shell., other types of shells like conch shells, cluttered scenes.,An open, intact clam with both shells, any marine creature, other types of shells (e.g., conch shells)"
a paw of a bear,A detailed close-up of a bear paw on the ground with prominent fur and sharp claws in a realistic style.,"human hand, cartoon, unrealistic fur, other animals, background scenery, blurry, distorted"
a plume of an ostrich,"an elegant plume of an ostrich, extreme close-up view, delicate and intricate feather details, softness, rich textures, natural muted colors.","background landscape, whole bird, animal faces, bird head, face, beak, full ostrich, other animals., other animals,full ostrich, background landscape"
a wing of a butterfly,"a detailed close-up of a butterfly wing, intricate patterns, vibrant colors, sharp focus, highly detailed textures","whole butterfly, flowers, plants, background, full insect, blurry, out of focus, distant shot, environment, scenery"
a fin of a shark,"A single shark fin breaking the calm surface of the ocean, under a clear sky.","whole shark, multiple fins, other animals, blurry water, splashes, waves, distractions, text.,the whole shark"
a antler of a moose,a detailed shot of a moose antler,"whole moose, background, field, grass, moose head, hand, finger, tree branches"
a trunk of an elephant,"close-up of an elephant trunk, highly detailed texture, macro shot, focus on the trunk, realistic texture, intricate skin patterns, sharp detail, nature photography","full body of an elephant, background, scenery, other parts of the elephant, blurred, low detail, surroundings, distant view, less detail, fuzzy, out of focus, poorly lit"
a horn of a goat,"Close-up view of a goat's horn with fine details, textures, and a neutral, plain background.","Goat's head, full goat, background scenery, landscape, text, objects near the horn., landscape.,a full goat, goat head"
a leg of a centipede,"Detailed macro photography of a close-up of a centipede leg, focusing on the texture and joints","Entire centipede, multiple legs, background, blurry, whole body, multiple limbs, head, eyes,full centipede, entire centipede"
a mane of a lion,"Close-up of a lion's mane with detailed fur texture, vibrant colors, realistic, sharp focus, and a natural background.","Entire body of lion, face of lion, cartoonish elements, blurry image, other animals, muzzle of lion, scalp, skin, split ends, dandruff."
a antler of a deer,"A detailed close-up of a deer's antler, high resolution, focus on texture and details, isolated.","deer head, deer body, grass, background, full deer, low resolution, blurry, out of focus, surroundings"
a paw of a fox,"Close-up of a fox's paw with detailed and realistic fur texture, lying on a leaf in a natural forest background.","Face of a fox, entire body of a fox, other animals, human, abstract elements, blurry background, entire caterpillar, caterpillar-like appearance.,face of a fox"
