Image Path,Sentence,Result
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_jaw_of_an_alligator.png,a jaw of an alligator,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_wing_of_a_butterfly.png,a wing of a butterfly,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tail_of_a_peacock.png,a tail of a peacock,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_eye_of_a_gecko.png,a eye of a gecko,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_eye_of_an_eagle.png,a eye of an eagle,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_pouch_of_a_kangaroo.png,a pouch of a kangaroo,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tooth_of_a_beaver.png,a tooth of a beaver,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_trunk_of_a_tapir.png,a trunk of a tapir,No
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tail_of_a_scorpion.png,a tail of a scorpion,No
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_spike_of_an_echidna.png,a spike of an echidna,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_bill_of_a_duck.png,a bill of a duck,No
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_bite_of_a_mosquito.png,a bite of a mosquito,No
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_antler_of_a_moose.png,a antler of a moose,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tusk_of_a_narwhal.png,a tusk of a narwhal,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_leg_of_a_spider.png,a leg of a spider,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_claw_of_an_eagle.png,a claw of an eagle,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_snout_of_an_aardvark.png,a snout of an aardvark,No
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_claw_of_a_crab.png,a claw of a crab,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_shell_of_a_clam.png,a shell of a clam,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_antenna_of_an_ant.png,a antenna of an ant,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_scale_of_an_iguana.png,a scale of an iguana,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_eye_of_a_lemur.png,a eye of a lemur,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_mane_of_a_lion.png,a mane of a lion,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tongue_of_a_frog.png,a tongue of a frog,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_whisker_of_a_walrus.png,a whisker of a walrus,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tail_of_a_lemur.png,a tail of a lemur,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_shell_of_a_snail.png,a shell of a snail,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_fin_of_a_manta_ray.png,a fin of a manta ray,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_wing_of_a_bat.png,a wing of a bat,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_skin_of_a_salamander.png,a skin of a salamander,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_fur_of_a_mink.png,a fur of a mink,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_wing_of_a_dragonfly.png,a wing of a dragonfly,Yes
