Image Path,Sentence,Result
2D_experiments/generated_images/part/mvdream/a_jaw_of_an_alligator.png,a jaw of an alligator,Yes
2D_experiments/generated_images/part/mvdream/a_wing_of_a_butterfly.png,a wing of a butterfly,Yes
2D_experiments/generated_images/part/mvdream/a_tail_of_a_peacock.png,a tail of a peacock,No
2D_experiments/generated_images/part/mvdream/a_eye_of_a_gecko.png,a eye of a gecko,Yes
2D_experiments/generated_images/part/mvdream/a_eye_of_an_eagle.png,a eye of an eagle,Yes
2D_experiments/generated_images/part/mvdream/a_pouch_of_a_kangaroo.png,a pouch of a kangaroo,No
2D_experiments/generated_images/part/mvdream/a_tooth_of_a_beaver.png,a tooth of a beaver,Yes
2D_experiments/generated_images/part/mvdream/a_trunk_of_a_tapir.png,a trunk of a tapir,No
2D_experiments/generated_images/part/mvdream/a_tail_of_a_scorpion.png,a tail of a scorpion,No
2D_experiments/generated_images/part/mvdream/a_spike_of_an_echidna.png,a spike of an echidna,No
2D_experiments/generated_images/part/mvdream/a_bill_of_a_duck.png,a bill of a duck,No
2D_experiments/generated_images/part/mvdream/a_bite_of_a_mosquito.png,a bite of a mosquito,No
2D_experiments/generated_images/part/mvdream/a_antler_of_a_moose.png,a antler of a moose,No
2D_experiments/generated_images/part/mvdream/a_tusk_of_a_narwhal.png,a tusk of a narwhal,No
2D_experiments/generated_images/part/mvdream/a_leg_of_a_spider.png,a leg of a spider,No
2D_experiments/generated_images/part/mvdream/a_claw_of_an_eagle.png,a claw of an eagle,No
2D_experiments/generated_images/part/mvdream/a_snout_of_an_aardvark.png,a snout of an aardvark,No
2D_experiments/generated_images/part/mvdream/a_claw_of_a_crab.png,a claw of a crab,No
2D_experiments/generated_images/part/mvdream/a_shell_of_a_clam.png,a shell of a clam,Yes
2D_experiments/generated_images/part/mvdream/a_antenna_of_an_ant.png,a antenna of an ant,No
2D_experiments/generated_images/part/mvdream/a_scale_of_an_iguana.png,a scale of an iguana,No
2D_experiments/generated_images/part/mvdream/a_eye_of_a_lemur.png,a eye of a lemur,No
2D_experiments/generated_images/part/mvdream/a_mane_of_a_lion.png,a mane of a lion,Yes
2D_experiments/generated_images/part/mvdream/a_tongue_of_a_frog.png,a tongue of a frog,No
2D_experiments/generated_images/part/mvdream/a_whisker_of_a_walrus.png,a whisker of a walrus,No
2D_experiments/generated_images/part/mvdream/a_tail_of_a_lemur.png,a tail of a lemur,No
2D_experiments/generated_images/part/mvdream/a_shell_of_a_snail.png,a shell of a snail,No
2D_experiments/generated_images/part/mvdream/a_fin_of_a_manta_ray.png,a fin of a manta ray,No
2D_experiments/generated_images/part/mvdream/a_wing_of_a_bat.png,a wing of a bat,Yes
2D_experiments/generated_images/part/mvdream/a_skin_of_a_salamander.png,a skin of a salamander,No
2D_experiments/generated_images/part/mvdream/a_fur_of_a_mink.png,a fur of a mink,Yes
2D_experiments/generated_images/part/mvdream/a_wing_of_a_dragonfly.png,a wing of a dragonfly,Yes
2D_experiments/generated_images/part/mvdream/a_nose_of_a_dog.png,a nose of a dog,No
2D_experiments/generated_images/part/mvdream/a_tooth_of_a_crocodile.png,a tooth of a crocodile,Yes
2D_experiments/generated_images/part/mvdream/a_stinger_of_a_bee.png,a stinger of a bee,No
2D_experiments/generated_images/part/mvdream/a_whisker_of_a_mouse.png,a whisker of a mouse,No
2D_experiments/generated_images/part/mvdream/a_feather_of_a_peacock.png,a feather of a peacock,Yes
2D_experiments/generated_images/part/mvdream/a_claw_of_a_tiger.png,a claw of a tiger,Yes
2D_experiments/generated_images/part/mvdream/a_plume_of_an_ostrich.png,a plume of an ostrich,No
2D_experiments/generated_images/part/mvdream/a_gill_of_a_newt..png,a gill of a newt,No
2D_experiments/generated_images/part/mvdream/a_shell_of_a_turtle.png,a shell of a turtle,No
2D_experiments/generated_images/part/mvdream/a_paw_of_a_raccoon.png,a paw of a raccoon,Yes
