original_prompt,prompt,negative_prompt
a creature with a body of a kookaburra and the tail of a stingray,"A fantastical creature with the body of a kookaburra and the tail of a stingray is swimming gracefully in a serene coastal setting. The water is clear with gentle ripples, and sunlight filters through, highlighting the seamless integration of the avian body and marine tail. The coastal backdrop is calm and picturesque, with natural elements blending harmoniously.","Other animals, unnatural colors or patterns, extra limbs or features, abstract elements, human-made structures, excessive detachment from a natural setting, anything other than a kookaburra body and a stingray tail, other animals, extra limbs or features., excessive detachment from a natural setting.,Any elements other than a kookaburra body and a stingray tail"
a creature with a body of a sloth and the wings of a falcon,"A hyper-realistic mythical creature combining the body of a sloth and the wings of a falcon, detailed with natural sloth coloring and intricate falcon wing patterns, set in a dense, lush forest environment, blending beautifully with its surroundings, with a peaceful expression.","Cartoonish elements, additional animals, exaggerated features or expressions, bright and unnatural colors, unrealistic anatomy, cartoonish style, unrealistic features, exaggerated expressions, bright unnatural colors., unrealistic anatomy.,Cartoonish style, unrealistic features."
a creature with a body of a stork and the tail of a chameleon,"A creature with the body, long legs, and neck of a stork, featuring the long beak of a stork, and a tail with vibrant, colorful chameleon-like scales. The creature should have a smooth, featherless body with reptilian skin texture.","Mammal, feathers, unrelated animals, abstract patterns, clothing, unnatural shapes., unrelated animals.,Feathers, mammal,None"
a creature with a body of a zebra and the scales of a pangolin,"""Create a magnificent hybrid creature that combines the body shape of a zebra with the distinctive scales of a pangolin. The creature should have a zebra’s form with intricate black and white stripes, but these stripes should blend seamlessly with overlapping pangolin-like scales, creating an exotic and harmonious appearance. The scales should cover the entire body, merging with the stripes to form a beautiful and unique hybrid.""","""Plain zebra, smooth fur, no scales, no lizard-like features, no deviations from zebra body shape, no fully scaled body without zebra stripes, no non-zebra animals, no visually distinct parts unrelated to both zebras and pangolins. Avoid creating images with just scales or just stripes; ensure a combination of both. No simple zebra-like figures without the integration of scales."", no misplaced parts."", regular zebra features, no visual anomalies, traditional zebra stripes, no scales blending with stripes."", no stripes with scales, no mismatched features."",Plain zebra, regular zebra features."
a creature with a body of a rabbit and the trunk of an elephant,"A fantastical creature with the body, ears, and tail of a rabbit, and the trunk of an elephant, depicted in a detailed and realistic style, with a whimsical and charming expression, lying down on all fours.","anthropomorphic features, other animal limbs, wings, unrealistic colors, multiple trunks, multiple tusks, standing on two legs, humanoid features, clothing, overly human-like characteristics, multiple trunks or tusks, sitting, extra eyes, extra limbs., overly human-like characteristics."
a creature with a body of a porcupine and the fins of a shark,"A unique hybrid sea creature with an armored, spiky body resembling a porcupine, covered in protective spines, and the sleek, powerful fins and tail of a shark. The creature swims gracefully in the ocean depths, showcasing both the porcupine's defensive spines and the elegant, streamlined features of a shark. Vibrant underwater scenery surrounds it, enhancing its majestic presence in the aquatic environment.","Mammal legs, fur, whiskers, terrestrial features, non-aquatic environment, unrealistic colors, exaggerated cartoon style, non-aquatic characteristics, humanoid features, wings, unrealistic anatomy.,mammal legs, non-aquatic characteristics."
a creature with a body of a turtle and the legs of a giraffe,"A fantastical creature with the body of a turtle and the legs of a giraffe, featuring black and white stripes, but without a giraffe neck or head.","Giraffe neck, Giraffe head, elongated neck, long neck, giraffe-like head, full giraffe body, traditional turtle, normal turtle, horse-like features, zebra head, zebra features, only zebra pattern, standard animal anatomy, four-legged standard animals, normal animal, incorrect anatomy, Traditional Turtle, Normal Turtle"
a creature with a body of a lobster and the legs of a kangaroo,"A realistic beach scene featuring a unique creature with the body of a lobster and the powerful legs of a kangaroo, under a bright, sunny sky with gentle waves.","Human features, cartoonish style, visible kangaroo head, extra limbs, toys, unrealistic proportions, non-natural scenery, unrealistic colors, non-natural surroundings, comic elements., non-natural scenery., cartoonish elements, unrealistic surroundings., unrealistic surroundings, visible kangaroo head., extra limbs."
a creature with a body of a pigeon and the tentacles of an anemone,"A fantastical creature with the body of a pigeon seamlessly combined with multiple vibrant and flowing tentacles extending outward like those of an anemone, set in a whimsical and surreal mystical underwater environment. Ethereal lighting illuminates the scene, with luminescent flora accentuating the creature's unique features. The creature's tentacles exhibit a spectrum of vibrant colors, adding to the surreal atmosphere.","Human characteristics, octopus-like appearance, typical underwater animals, plain bird features, dull colors, and normal pigeon legs, dull lighting, typical fish, normal marine background., and normal pigeon legs., normal pigeon legs, typical underwater animals.,human characteristics, plain bird features."
a creature with a body of a newt and the beak of a toucan,"A fantastical creature with the body of a newt and the beak of a toucan, featuring detailed scales and vibrant colors. The creature is standing in a lush, green forest environment with dense foliage and dappled sunlight illuminating the scene. The vibrant hues of its body and the unique texture of its scales are accentuated by the natural light, making it stand out against the greenery.","Blurry image, multiple creatures, unrealistic environment, bird wings, human features, overly simplistic design, monochromatic colors, extra limbs, artificial lighting, extra beaks, muted colors., additional beaks, artificial lighting., monochromatic colors., additional beaks."
