Image Path,Sentence,Result
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_cat_and_a_shell_of_a_tortoise_and_wings_of_an_owl.png,a creature with a body of a cat and a shell of a tortoise and wings of an owl,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_zebra_and_a_wingspan_of_a_butterfly_and_claws_of_a_hawk.png,a creature with a body of a zebra and a wingspan of a butterfly and claws of a hawk,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_tarantula_and_a_beak_of_a_swan_and_legs_of_a_hippo.png,a creature with a body of a tarantula and a beak of a swan and legs of a hippo,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_penguin_and_a_trunk_of_an_elephant_and_legs_of_a_cheetah.png,a creature with a body of a penguin and a trunk of an elephant and legs of a cheetah,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_stingray_and_an_antennae_of_a_beetle_and_legs_of_a_wolf.png,a creature with a body of a stingray and an antennae of a beetle and legs of a wolf,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_horse_and_a_tail_of_a_scorpion_and_a_head_of_a_fox.png,a creature with a body of a horse and a tail of a scorpion and a head of a fox,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_crab_and_a_wingspan_of_a_condor_and_trunk_of_an_elephant.png,a creature with a body of a crab and a wingspan of a condor and trunk of an elephant,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_rhino_and_the_beak_of_a_toucan_and_claws_of_a_bear.png,a creature with a body of a rhino and the beak of a toucan and claws of a bear,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_lobster_and_a_head_of_a_deer_and_wings_of_an_eagle.png,a creature with a body of a lobster and a head of a deer and wings of an eagle,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_swan_and_a_shell_of_a_crab_and_claws_of_an_eagle.png,a creature with a body of a swan and a shell of a crab and claws of an eagle,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_panda_and_a_beak_of_a_penguin_and_claws_of_a_tiger.png,a creature with a body of a panda and a beak of a penguin and claws of a tiger,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_wolf_and_a_beak_of_a_toucan_and_wings_of_a_bat.png,a creature with a body of a wolf and a beak of a toucan and wings of a bat,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_bat_and_a_tail_of_a_monkey_and_claws_of_an_eagle.png,a creature with a body of a bat and a tail of a monkey and claws of an eagle,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_squid_and_a_mane_of_a_lion_and_tail_of_a_skunk.png,a creature with a body of a squid and a mane of a lion and tail of a skunk,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_wolf_and_a_trunk_of_an_elephant_and_wings_of_a_vulture.png,a creature with a body of a wolf and a trunk of an elephant and wings of a vulture,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_rabbit_and_antennae_of_a_moth_and_legs_of_a_horse.png,a creature with a body of a rabbit and antennae of a moth and legs of a horse,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_buffalo_and_a_beak_of_a_duck_and_claws_of_a_lobster.png,a creature with a body of a buffalo and a beak of a duck and claws of a lobster,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_dolphin_and_a_mane_of_a_lion_and_claws_of_an_eagle.png,a creature with a body of a dolphin and a mane of a lion and claws of an eagle,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_snail_and_a_shell_of_a_turtle_and_fins_of_a_fish.png,a creature with a body of a snail and a shell of a turtle and fins of a fish,Yes
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_lobster_and_the_tail_of_a_fox_and_wings_of_a_bat.png,a creature with a body of a lobster and the tail of a fox and wings of a bat,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_frog_and_a_mane_of_a_lion_and_legs_of_a_deer.png,a creature with a body of a frog and a mane of a lion and legs of a deer,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_monkey_and_wings_of_a_bat_and_snout_of_a_pig.png,a creature with a body of a monkey and wings of a bat and snout of a pig,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_gorilla_and_a_tail_of_a_rabbit_and_wings_of_a_dove.png,a creature with a body of a gorilla and a tail of a rabbit and wings of a dove,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_cheetah_and_a_head_of_a_hummingbird_and_legs_of_a_rabbit.png,a creature with a body of a cheetah and a head of a hummingbird and legs of a rabbit,Yes
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_snake_and_a_head_of_a_falcon_and_legs_of_a_cheetah.png,a creature with a body of a snake and a head of a falcon and legs of a cheetah,Yes
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_an_alligator_and_the_wingspan_of_a_condor_and_legs_of_a_kangaroo.png,a creature with a body of an alligator and the wingspan of a condor and legs of a kangaroo,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_toucan_and_the_tail_of_a_rat_and_wings_of_a_bat.png,a creature with a body of a toucan and the tail of a rat and wings of a bat,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_rabbit_and_a_tail_of_a_monkey_and_fins_of_a_swordfish.png,a creature with a body of a rabbit and a tail of a monkey and fins of a swordfish,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_goat_and_a_head_of_a_dragonfly_and_claws_of_a_tiger.png,a creature with a body of a goat and a head of a dragonfly and claws of a tiger,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_peacock_and_a_snout_of_an_anteater_and_wings_of_a_bee.png,a creature with a body of a peacock and a snout of an anteater and wings of a bee,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_grasshopper_and_a_trunk_of_an_elephant_and_fins_of_a_seahorse.png,a creature with a body of a grasshopper and a trunk of an elephant and fins of a seahorse,No
2D_experiments/generated_images/chimera/bandw_manga/a_creature_with_a_body_of_a_cobra_and_a_head_of_a_duck_and_claws_of_a_bear.png,a creature with a body of a cobra and a head of a duck and claws of a bear,No
