original_prompt,prompt,negative_prompt
a creature with a body of a kookaburra and the tail of a stingray,"A mythical creature with the body of a kookaburra and the tail of a stingray, in a lush, natural forest setting with a flowing river.","Normal birds, normal animals, no backgrounds without nature elements, no other creatures, no full stingrays, no plain water surfaces without lush surroundings., no other creatures."
a creature with a body of a sloth and the wings of a falcon,"A creature with the body of a sloth and the wings of a falcon, realistic style, detailed feathers, forest background, dark brown fur, large, expressive eyes, perched on a mossy branch, natural colors, and realistic proportions. ","Cartoonish style, bright unnatural colors, human-like features, other animals in the background, unrealistic proportions, synthetic textures, overly exaggerated expressions., unrealistic proportions."
a creature with a body of a stork and the tail of a chameleon,"A hybrid creature with the body of a stork and the tail of a chameleon, featuring the elegant long legs and body of a stork seamlessly merging with the vibrant, curled tail of a chameleon.","Separate animals, multiple creatures, isolated stork and chameleon, regular stork, regular chameleon., isolated stork and chameleon."
a creature with a body of a zebra and the scales of a pangolin,"A creature with the body of a zebra and covered in the scales of a pangolin, standing in a vast desert landscape.","Fur, feathers, smooth skin, horse head, mammal face, lizard body., horse head."
a creature with a body of a rabbit and the trunk of an elephant,"A hybrid creature with the body of a rabbit and the trunk of an elephant, featuring the long ears and fur of a rabbit and the distinctive trunk extending from the face, cute and whimsical, cartoon style.","Separate rabbit and elephant, realistic animals, background scenery, realistic rendering., background scenery."
a creature with a body of a porcupine and the fins of a shark,"A hybrid creature with the body of a porcupine and fins of a shark, blending features of a porcupine and shark, with sharp porcupine quills covering its back and prominent shark fins on its sides and top.","No other animals, no human features, no additional sea creatures, no background distractions, no unrealistic colors, no extra fins or features from other animals, no changes in body structure., no unrealistic colors."
a creature with a body of a turtle and the legs of a giraffe,"A hybrid creature with the body and shell of a turtle but with long, slender legs like a giraffe's.","Separate turtle and giraffe, normal turtle, normal giraffe, lizard-like body, non-turtle shell, short legs, non-giraffe legs, mismatched parts., normal giraffe."
a creature with a body of a lobster and the legs of a kangaroo,"A creature with the body of a lobster and powerful, muscular legs of a kangaroo, having strong hind legs for jumping and a tail for balance. The creature should have a tail and body texture of a lobster, but with the posture and legs similar to a kangaroo. ","Crab-like legs, thin legs, lobster only, standing upright, humanoid features., lobster only."
a creature with a body of a pigeon and the tentacles of an anemone,"A mystical creature with the body of a pigeon and colorful, delicate anemone-like tentacles instead of legs, set in a vibrant underwater environment. The creature's feathers blend into the underwater flora, creating a magical and harmonious scene.","Regular pigeons, plain birds, simple legs, terrestrial background, no underwater elements, dull colors, no harmony with the environment., no underwater elements."
a creature with a body of a newt and the beak of a toucan,"A fantastical creature with the body of a slender newt and a brightly colored toucan beak, with vibrant patterns on its skin, sitting in a lush, colorful wetland environment.","Bird wings, feathers, typical bird body, standing like a bird, regular newt, lacking a brightly colored toucan beak., standard toucan body"
