Image Path,Sentence,Result
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_frog_and_the_beak_of_a_pelican.png,a creature with a body of a frog and the beak of a pelican,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_sloth_and_the_tail_of_a_scorpion.png,a creature with a body of a sloth and the tail of a scorpion,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_snake_and_the_head_of_a_bull.png,a creature with a body of a snake and the head of a bull,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_peacock_and_the_jaws_of_an_alligator.png,a creature with a body of a peacock and the jaws of an alligator,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_catfish_and_the_ears_of_a_rabbit.png,a creature with a body of a catfish and the ears of a rabbit,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_buffalo_and_the_fins_of_a_tuna.png,a creature with a body of a buffalo and the fins of a tuna,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_kangaroo_and_the_tentacles_of_a_squid.png,a creature with a body of a kangaroo and the tentacles of a squid,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_newt_and_the_beak_of_a_toucan.png,a creature with a body of a newt and the beak of a toucan,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_beaver_and_the_antlers_of_a_moose.png,a creature with a body of a beaver and the antlers of a moose,Yes
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_piranha_and_the_snout_of_a_pig.png,a creature with a body of a piranha and the snout of a pig,Yes
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_frog_and_the_wings_of_a_dragonfly.png,a creature with a body of a frog and the wings of a dragonfly,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_seal_and_the_wings_of_a_crow.png,a creature with a body of a seal and the wings of a crow,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_rhinoceros_and_the_fins_of_a_marlin.png,a creature with a body of a rhinoceros and the fins of a marlin,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_hippo_and_the_beard_of_a_goat.png,a creature with a body of a hippo and the beard of a goat,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_lobster_and_the_legs_of_a_kangaroo.png,a creature with a body of a lobster and the legs of a kangaroo,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_kangaroo_and_the_shell_of_a_tortoise.png,a creature with a body of a kangaroo and the shell of a tortoise,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_an_elk_and_the_wings_of_a_butterfly.png,a creature with a body of an elk and the wings of a butterfly,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_zebra_and_the_scales_of_a_pangolin.png,a creature with a body of a zebra and the scales of a pangolin,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_porcupine_and_the_fins_of_a_shark.png,a creature with a body of a porcupine and the fins of a shark,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_vulture_and_the_antlers_of_a_reindeer.png,a creature with a body of a vulture and the antlers of a reindeer,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_chimpanzee_and_the_shell_of_a_clam.png,a creature with a body of a chimpanzee and the shell of a clam,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_hawk_and_the_trunk_of_an_aardvark.png,a creature with a body of a hawk and the trunk of an aardvark,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_tarantula_and_the_wings_of_a_moth.png,a creature with a body of a tarantula and the wings of a moth,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_octopus_and_the_legs_of_a_cheetah.png,a creature with a body of a octopus and the legs of a cheetah,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_pangolin_and_the_tail_of_an_iguana.png,a creature with a body of a pangolin and the tail of an iguana,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_chameleon_and_the_eyes_of_an_owl.png,a creature with a body of a chameleon and the eyes of an owl,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_butterfly_and_the_legs_of_an_ostrich.png,a creature with a body of a butterfly and the legs of an ostrich,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_cheetah_and_the_head_of_a_dodo.png,a creature with a body of a cheetah and the head of a dodo,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_salmon_and_the_claws_of_a_gharial.png,a creature with a body of a salmon and the claws of a gharial,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_tarantula_and_the_tail_of_a_beaver.png,a creature with a body of a tarantula and the tail of a beaver,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_gazelle_and_the_shell_of_a_barnacle.png,a creature with a body of a gazelle and the shell of a barnacle,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_lemur_and_the_wings_of_a_bumblebee.png,a creature with a body of a lemur and the wings of a bumblebee,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_lizard_and_the_hooves_of_a_horse.png,a creature with a body of a lizard and the hooves of a horse,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_lion_and_a_tail_of_a_peacock.png,a creature with a body of a lion and a tail of a peacock,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_sea_cucumber_and_the_legs_of_a_jaguar.png,a creature with a body of a sea cucumber and the legs of a jaguar,Yes
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_shark_and_the_limbs_of_a_monkey.png,a creature with a body of a shark and the limbs of a monkey,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_butterfly_and_the_paws_of_a_tiger.png,a creature with a body of a butterfly and the paws of a tiger,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_penguin_and_the_arms_of_a_lemur.png,a creature with a body of a penguin and the arms of a lemur,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_sheep_and_the_claws_of_an_eagle.png,a creature with a body of a sheep and the claws of an eagle,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_panther_and_the_shell_of_a_snail.png,a creature with a body of a panther and the shell of a snail,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_bear_and_the_antlers_of_a_deer.png,a creature with a body of a bear and the antlers of a deer,Yes
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_starfish_and_the_legs_of_a_zebra.png,a creature with a body of a starfish and the legs of a zebra,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_swan_and_the_head_of_an_iguana.png,a creature with a body of a swan and the head of an iguana,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_crow_and_the_paws_of_a_raccoon.png,a creature with a body of a crow and the paws of a raccoon,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_python_and_the_wings_of_a_dragonfly.png,a creature with a body of a python and the wings of a dragonfly,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_an_eagle_and_the_hooves_of_a_bison.png,a creature with a body of an eagle and the hooves of a bison,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_platypus_and_the_antlers_of_a_caribou.png,a creature with a body of a platypus and the antlers of a caribou,Yes
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_mongoose_and_the_wings_of_a_phoenix.png,a creature with a body of a mongoose and the wings of a phoenix,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_raccoon_and_the_mane_of_a_lion.png,a creature with a body of a raccoon and the mane of a lion,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_worm_and_the_legs_of_a_fox.png,a creature with a body of a worm and the legs of a fox,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_badger_and_the_tentacles_of_a_jellyfish.png,a creature with a body of a badger and the tentacles of a jellyfish,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_wolverine_and_the_wings_of_a_macaw.png,a creature with a body of a wolverine and the wings of a macaw,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_an_ostrich_and_the_trunk_of_an_anteater.png,a creature with a body of an ostrich and the trunk of an anteater,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_moth_and_the_snout_of_a_crocodile.png,a creature with a body of a moth and the snout of a crocodile,No
2D_experiments/generated_images/composite/stable_diffusion/a_creature_with_a_body_of_a_pelican_and_the_horns_of_a_ram.png,a creature with a body of a pelican and the horns of a ram,No
