original_prompt,prompt,negative_prompt
a creature with a body of a butterfly and the legs of an ostrich,"A whimsical creature with the delicate, colorful body and wings of a butterfly and the long, sturdy legs of an ostrich, standing gracefully in a lush, mystical landscape filled with ethereal light and vibrant, oversized plants.","Bird head, bird beak, human body, mammal features, plain background, humanoid shapes, reptilian features, human-like limbs, butterfly head, small wings, short legs., human-like limbs."
a creature with a body of a badger and the tentacles of a jellyfish,"A hybrid creature with the robust body of a badger and integrated seamlessly with flowing, translucent, and bioluminescent tentacles of a jellyfish. The creature has the characteristic fur and distinctive markings of a badger, while its tentacles are flexible, graceful, and glow softly in the dark. The creature stands confidently, showcasing its unique harmony of terrestrial and aquatic features. The background is a mystical forest blending terrestrial and aquatic elements lit by the bioluminescent glow of the tentacles.","Plain badger, plain jellyfish, bright colors, abstract shapes, unrelated animal features, overly complex designs, unrealistic proportions, plain backgrounds.,Fish, octopus, squids, unrelated animal features."
a creature with a body of a horse and the wings of an eagle,"majestic creature with the body of a horse and the wings of an eagle in a dynamic pose, sleek and graceful like a Pegasus, highly detailed, realistic, and sharp focus, photorealistic, fantasy artwork","distorted, blurry, double exposure, multiple heads, incorrect anatomy, extra limbs, abstract, bird-like body, talons, claws, beaks, non-horse features, incorrect proportion, flying pose,""distorted, incorrect proportion"""
a creature with a body of an antelope and the claws of a bear,"A fantastical creature with the body of an antelope, slender legs, hooves, antlers, and the claws of a bear","Bear-like body, no antlers, human-like features, standing upright, fish-like features, insect-like features, abstract artwork, intricate patterns, non-realistic, distorted features, insect-like features. "
a creature with a body of a swan and the head of an iguana,"A fantastical creature with the elegant body of a swan and the detailed head of an iguana, standing gracefully in a lush natural setting with clear lighting and high detail.","Abstract shapes, distorted forms, blurred image, unrealistic anatomy, extra limbs, extra heads, cartoonish features, overly bright colors, unnatural patterns, grey background., unnatural patterns.,abstract shapes"
a creature with a body of a chimpanzee and the wings of a seagull,"a mythical creature with the body of a chimpanzee and large, detailed wings of a seagull, realistic and high-definition, majestic and powerful, natural stance and proportions, intricately detailed wings, dynamic yet natural pose, balanced and symmetrical features","distorted body parts, extra limbs, low-resolution, unrealistic anatomy, unnatural poses, disproportionate features, poorly detailed wings, awkward stances, unbalanced symmetry, low resolution"
a creature with a body of a kookaburra and the tail of a stingray,"A realistic creature blending the body of a kookaburra with the tail of a stingray, perched on a branch. The creature retains the kookaburra's distinct features such as its large head, strong beak, and vibrant plumage, while having a seamless and natural transition into the streamlined, barbed tail of a stingray.","Fish, marine animals, distorted features, abstract elements, jellyfish-like structures, afro-like plumage, unclear anatomy, unrealistic combination, floating, mismatched proportions., unclear anatomy., abstract elements."
a creature with a body of a piranha and the snout of a pig,"A realistic and detailed hybrid creature featuring the fierce body of a piranha and the distinctive snout of a pig, swimming in a murky underwater environment with greenish hues, surrounded by dense aquatic vegetation. The scene is illuminated by diffuse, eerie light, adding a mysterious atmosphere.","Cartoonish design, exaggerated features, floating in the air, plain background, overly bright colors, unrealistic proportions, low detail, flat colors, no vegetation, clear water., unrealistic proportions."
a creature with a body of a sheep and the claws of an eagle,"A fantastical creature with the body of a fluffy sheep and the sharp claws of an eagle, standing on two legs. The creature has a sheep's woolly body and eagle's powerful talons as its feet. Its claws are prominently visible. The creature is standing in a beautiful natural mountain landscape under a clear blue sky.","Feathered body, wings, bird head, multiple legs, blending into the background, flying, sitting, lying down, indistinct features, insignificant claws, blurred, unclear details, no creature."
a creature with a body of a roadrunner and the tentacles of an octopus,"A fantastical creature with the body of a roadrunner and the tentacles of an octopus, seamlessly combining avian features with cephalopod tentacles. The feathers are detailed and realistic, while the tentacles have a textured appearance. The creature is set against a simple grey background, allowing its unique form to stand out. ","No other animals, no extra limbs, no unrealistic features, no abstract shapes, no fragmented bodies, no unclear forms, no unnatural color combinations, no blurred images, no incomplete details., no unnatural color combinations.,no other animals"
