original_prompt,prompt,negative_prompt
a leg of a centipede,close-up of a single centipede leg,"entire centipede, multiple legs, whole centipede, body segments, full view"
a mane of a horse,close-up of a horse mane,"horse face, horse ears, horse head, background"
a tentacle of a coral,"Close-up of the vibrant tentacles of a coral, underwater","Blurry, multiple tentacles intertwined, unclear details"
a paw of a fox,a close-up of a fox paw,"full fox body, multiple body parts, fox face, background, blurred, not detailed"
a tongue of an anteater,"Close-up of an anteater licking with a focus on its long, slender tongue","Whole body of the anteater, unclear focus"
a spike of an echidna,"a single spike from an echidna, close-up, detailed, realistic","whole echidna, animal, blur, low detail, background objects"
a fang of a bat,"a bat fang, close-up, detailed, sharp, clear background, isolated object","wings, bat body, abstract shapes, blurry, indistinct, multiple objects"
a scale of a snake,"a close-up of a snake scale, highly detailed, with intricate patterns and texture","entire snake, snake skin, uncoiled snake, blurry, low detail"
a eye of an eagle,a detailed macro shot of an eagle's eye with sharp texture and realistic colors,"abstract, blurred, indistinct, unrealistic colors, non-feather patterns, weird shapes, not an eagle"
a claw of a cheetah,a close-up of a cheetah's claw,"whole cheetah, cheetah body, cheetah fur, background, outdoors"
a fur of a rabbit,close-up of the soft fur of a rabbit,"full rabbit, rabbit face, rabbit ears, background"
a nose of a dog,a close-up of a dog's nose,"full dog face, side view of dog, entire dog head, far view"
a ear of a rabbit,a close-up of a rabbit ear,"human ear, blurred, abstract, unrealistic, gray background"
a claw of an eagle,"detailed image of an eagle's claw, sharp talons, feathers, realistic texture, close-up","blurred, abstract, indistinct, whole eagle, cartoonish, unrealistic"
a feather of a swan,"single white swan feather, detailed and sharp, isolated on a plain background","multiple feathers, blurred, colored feathers"
a spike of a porcupine,a close-up of a porcupine quill,"porcupine, animal face, full body, spiky fur"
a claw of a tiger,"a close-up of a tiger's claw, realistic, detailed, sharp, with tiger fur patterns","tiger face, tiger head, teeth, mouth, cartoon, unrealistic, blurry"
a antler of a moose,"close-up of a moose antler, detailed, forest background, antler only, no body of the moose","moose body, full moose, animal body, whole animal"
a shell of a turtle,"a standalone turtle shell, isolated, detailed","turtle body, limbs, head, active turtle, living turtle"
a snout of a pig,a close-up of a pig's snout,"a full pig, background"
a stinger of a bee,"close-up of a bee's stinger, macro photography, detailed, sharp focus","entire bee, honeycomb, blurry image, background distractions"
a tusk of a mammoth,"""A full tusk of a mammoth, ivory colored, slightly curved, detailed texture, realistic and in a natural setting.""","""Half tusk, broken tusk, abstract, cartoonish, black and white, incomplete, isolated on plain background"""
a claw of a scorpion,"a detailed close-up of the claw of a scorpion, sharp, with articulated joints, in focus, on a plain background","rocks, blurry, out of focus, background details"
a snout of an aardvark,"close-up of an aardvark's snout, detailed ","horns, rhino, incorrect animal, background, full body"
a tail of a beaver,"a flat, scaly tail of a beaver ","fur, bushes, ears, face, legs"
a pouch of a wombat,close-up of a wombat's pouch,"entire wombat, background, environment"
a quill of a porcupine,"a single porcupine quill on a plain background, highly detailed, sharp and pointed, clear and realistic","furball, blurry, multiple quills, animal, cluster"
a shell of a snail,A detailed close-up of a snail shell on the ground,"Snail body, snail antennae, creatures, insects, plants"
a paw of a bear,"A close-up of a bear's paw with visible claws, on a natural background, highly detailed.","Unrealistic, floating, disembodied, blurred, indistinct, incomplete."
a trunk of a tapir,"A close-up of a tapir with a focus on its trunk, in a natural forest environment","Full body view of the tapir, other animals, blurry background"
a bite of a mosquito,"a mosquito biting human skin, close-up of a mosquito bite, detailed view of a mosquito feeding","mosquito flying, mosquito alone, abstract background, blurry image"
a eye of a lemur,Close-up view of a lemur's eye,"Full body, background, multiple eyes, blurry image, other parts of the lemur's face"
a tongue of a frog,close-up of a frog extending its tongue,"full frog body, frog face, frog legs, surroundings, background"
a fin of a manta ray,A close-up of a manta ray fin above the water,"full body, flying, far away, horizon, sky"
a horn of a rhinoceros,"close-up of a rhinoceros horn, detailed texture, realistic, no other objects, centered","broken, damaged, abstract, sculpture, artificial, blurry, low resolution"
a scale of an iguana,a close-up of an iguana's scale,"background, full iguana, environment, whole body, nature scene"
a hoof of a horse,"a close-up of a horse hoof, detailed, realistic, on natural ground","abstract, fantasy, sculpture, distorted shapes, unrecognizable objects"
a paw of a panda,a close-up of a panda paw,"full body of a panda, face of panda"
a flipper of a seal,a close-up of a seal's flipper,"full body of a seal, seal head"
a bill of a duck,a close-up of a duck's bill,"entire duck, background, full duck body"
a claw of a lobster,a detailed close-up of a single lobster claw,"multiple claws, whole lobster, lobster body, blurry 이미지, abstract background, part of animal"
a tentacle of a squid,"A detailed, realistic tentacle of a squid, high resolution","full squid, multiple tentacles, blurry, octopus"
