original_prompt,prompt,negative_prompt
a snout of an aardvark,a close-up of an aardvark's snout,"full body, blurry, other animals, wrong animal, background details, out of focus, ears, eyes"
a gill of a fish,"Close-up detailed macro shot of the gill of a fish, highlighting the intricate structure and vibrant colors, with fine textures and patterns.","Entire fish, background elements, blurry image, low detail, abstract shapes, unrelated objects, human-made objects.,** Entire fish"
a hoof of a goat,"A detailed and sharp close-up of a goat's hoof on green grass, with intricate textures and patterns visible on the hoof and the grass.","Entire goat, background distractions, blurred details, multiple hooves.,Whole goat, background distractions."
a talon of a hawk,"Close-up of a hawk's talon gripping a branch, sharp details on the talon and branch, minimal background, focus on the texture and claws, natural colors","Hawk's head, beak, eyes, blurry talon, detailed background, entire bird in view, background in focus"
a claw of a lobster,"close-up of a single lobster claw, emphasizing texture, vibrant colors, and detail, isolated on a plain background","whole lobster, multiple claws, lobster body, background distractions, other objects, blurred details,full lobster, whole body"
a fang of a bat,"A close-up of a single, sharp fang from a bat.","face, mouth, multiple teeth, monster, horror, full bat, wings, entire body,scary face"
a feather of a peacock,"A single detailed feather of a peacock, vibrant colors, and intricate patterns, close-up view","multiple feathers, whole peacocks, blurry image, dull colors, out-of-focus, peacocks"
a skin of a chameleon,extreme close-up of a chameleon's skin with vibrant colors and highly detailed textured scales,"blurry image, low-resolution, snake skin, fabric pattern, lack of detail"
a horn of a bison,"Close-up of a bison's horn, detailed texture, realistic, sharp focus","Full bison, entire animal, background scenery, full body, blurry, hoof, face, eyes, ears"
a tail of a beaver,"""a close-up of a beaver's tail, detailed texture, scales, realistic, high resolution, captured outdoors in nature, natural lighting""","""any other animal, blurry image, no tail, cartoonish style, low resolution, artificial lighting, unnatural background"",any other animal"
a tusk of a walrus,"Close-up of a walrus tusk underwater, showing detailed texture","entire walrus, other animal parts besides the tusk, whole animals, marine surroundings without the tusk, tusks from different animals,animal parts other than tusk, marine surroundings without tusk, tusk from different animals"
a tusk of an elephant,Close-up of an elephant tusk,"The entire elephant, background elements, grass, trees, any part of the elephant other than the tusk, other animals, people, landscape"
a tentacle of a jellyfish,"Close-up of detailed bioluminescent jellyfish tentacle, underwater, glowing softly, highly realistic, vibrant colors","Entire jellyfish, above water, unrealistic, cartoonish, blurry, neon green only"
a fur of a rabbit,"""Close-up of a rabbit's fur, soft and fluffy texture, highly detailed, realistic, focus on fur texture without any other features, showing the fine details of the fur fibers.""","""Whole rabbit, cartoonish style, low detail, other animals, eyes, face, ears, background elements."",whole rabbit"
a ear of a rabbit,"close-up of a single rabbit ear, detailed fur texture, high-detail, sharp focus, macro photography","whole rabbit, full body, multiple ears, background elements, grass, fur that's not part of the ear, grass background"
a claw of a crab,"a detailed, realistic crab claw, close-up, with natural colors, sharp details, and proper lighting.","human elements, entire crab, unrealistic colors, blurry details, artificial textures, background distractions."
a crest of a rooster,"Close-up view of a rooster's crest, sharp focus on the crest, vivid colors, detailed feathers, blurred green background, showing only the crest","Entire rooster, background objects, other animals, low resolution, out of focus crest, part of the rooster's body visible, eyes of the rooster, beak of the rooster"
a bite of a mosquito,"a close-up of a mosquito biting and feeding on human skin, realistic detail, mosquito proboscis inserted into skin","distractions, other insects, unclear focus, blurry, cartoonish elements, background details, unrealistic, too graphic"
a eye of an eagle,"Ultra close-up of an eagle's eye, featuring intricate details of the feathers and sharpness of the eye. The focus highlights the texture and clarity, showcasing a high-resolution and hyper-realistic image.","Blurry, low-resolution, out-of-focus, distorted, abstract, cartoonish, digitally created.,blurry, low resolution, out of focus"
a antenna of an ant,"Close-up view of an ant's antenna, highly detailed, macro photography, sharp focus on the antenna, black background, isolated antenna","Full body of the ant, blurred image, out of focus, background distractions, head of insect, multiple antennas"
a beak of a parrot,"close-up of a parrot's beak, vibrant colors, ultra-detailed, sharp focus on the beak, no background","full parrot body, eyes, background elements, blurred images"
a stinger of a bee,"close-up of a bee stinger, highly detailed, sharp focus, macro photography","bee body, flower, insect legs, background, out of focus, antennae, non-stinger parts, out of focus "
a shell of a clam,"A close-up, detailed image of a clam shell with natural texture and coloration against a plain, dark background, focusing on the intricate patterns and grooves of the shell.","Anything that is not a single clam shell, multiple shells, marine animals, text, logos, other objects.,Anything that is not a clam shell, logos."
a paw of a bear,close-up image of a bear's paw with visible claws and fur on a grassy surface,"full bear, distorted paw, human-like features, hooves, double paws, background distractions, other animals"
a plume of an ostrich,"A single, large, colorful ostrich plume with detailed textures and vibrant colors, isolated on a plain background.","Backgrounds with animals, humans, objects, or any other distractions. Only focus on the feather. No clusters of feathers, only one feather.,Backgrounds with animals or humans, or other distractions. Only focus on the feather."
a wing of a butterfly,"Close-up of a butterfly wing, intricate patterns with vibrant colors, extreme macro photography","Full butterfly, other insects, background elements, blurry, out of focus,full butterfly"
a fin of a shark,a close-up of a shark's fin sticking out of the water,"entire shark, underwater scene, shark teeth, shark mouth, full shark body, background distractions,a full shark, teeth, mouth, entire shark body"
a antler of a moose,"A close-up, detailed image of a single moose antler on a black background","Animal, moose body, outdoor setting, forest, multiple antlers, whole rack of antlers, other objects, background details, rack of antlers"
a trunk of an elephant,"Close-up of an elephant's trunk, detailed texture, highly realistic, capturing the wrinkles and roughness, macro focus","Background distractions, full body of the elephant, other body parts, unnatural textures, abstract patterns, non-trunk elements, full elephant"
a horn of a goat,"""a close-up of a goat's horn, capturing the intricate details and texture, isolated against a plain, solid-colored background""","""background elements, full goat, scenery, distractions, other animals, abstract shapes, partial views, indistinct forms"",background elements"
a leg of a centipede,"Close-up of a detailed centipede leg, single leg, macro photography, intricate details, clear, sharp focus, high resolution","Full centipede, multiple legs, low detail, blurry, abstract, out of focus, leg covered in fabric or unexpected material,full centipede"
a mane of a lion,"A close-up of a realistic lion's mane, showing the intricate details of the fur, in a natural setting, with soft lighting highlighting the texture.","abstract, colorful, painting, unrealistic, cartoon, illustration, overexposed, low resolution, blurry, artistic, sketch."
a antler of a deer,"A close-up view of a single deer's antler, isolated against a plain, neutral background, capturing the texture and details of the antler.","Full deer's head, mounted trophy, background distractions, multiple antlers, visible body parts of the deer, noisy backgrounds.,full deer's head"
a paw of a fox,"a close-up of a fox paw, detailed fur, claws visible, vibrant orange and white fur, natural forest background","full-body fox, other animals, objects, human elements, blurred background, text, excessive noise, abstract patterns"
a quill of a porcupine,"A single quill of a porcupine, highly detailed, sharp, close-up, in focus, realistic","Multiple quills, out of focus, blur, abstract shapes, porcupine, animal, baby porcupine, not focused"
a hump of a camel,"Close-up view of a camel’s hump, with a desert background, clear details","Full-body camel, multiple camels, blurry image, camel’s head, camel’s neck,full-body camel"
a wing of a moth,"A detailed close-up of a moth wing, showing the intricate patterns and scales, with earthy tones and natural colors.","Leaf, green background, plant, synthetic colors, abstract patterns., plant."
a horn of a rhinoceros,"Close-up of a rhinoceros horn, detailed texture, focused shot","Entire rhinoceros body, background elements, elephant, background elements."
a hoof of a horse,A close-up view of a horse's hoof on grassy ground.,"Full horse, human, background elements, multiple hooves, footwear, socks, shoes."
a spike of an echidna,"A detailed close-up of a single spike from an echidna, isolated.","Entire echidna, background, multiple spikes, blurred, out of focus., multiple spikes."
a claw of an eagle,"Close-up of an eagle's claw with sharp detail and focus, emphasizing the talons and texture","Full eagle, wings, head, beak, sky, background, entire limb, fingers, human features,full eagle"
a paw of a raccoon,close-up of a raccoon paw,"entire raccoon, background elements, trees, fur, raccoon face, human elements"
a skin of a salamander,"Close-up of a salamander's skin texture, with detailed patterns and vibrant colors on the salamander's body, focusing entirely on the unique skin textures and patterns.","Entire salamander, background elements, grass, eyes, legs, any other body parts.,entire salamander"
a tentacle of an octopus,"Close-up of an octopus tentacle with prominent suction cups, highly detailed, realistic, in sharp focus, with a smooth and glossy texture, vibrant colors, set against a deep black background.","Full octopus, blurry, unrecognizable, abstract, low detail, unrealistic, distorted, multiple tentacles.,Blurry, distorted."
a shell of a snail,a close-up of a spiral snail shell with natural textures and colors,"living snail, background clutter, artificial textures, overly shiny surface, bright reflections"
a fin of a manta ray,A close-up of the fin of a manta ray against a clear blue ocean background,"Whole manta ray, other marine animals, human elements, abstract shapes, low resolution, noisy background, excessive reflection, blurriness,whole manta ray"
a jaw of a wolf,"A detailed close-up of an open wolf's jaw displaying sharp teeth, focused on the mouth area.","Full body of the wolf, other animals, blurry image, background elements."
a tail of a kangaroo,"A close-up of a kangaroo tail, detailed texture, shadows","Full kangaroo, background, grassland, feet, legs, human-made surfaces"
a mane of a horse,"""Close-up of a horse's mane, highly detailed and realistic, with the mane flowing gracefully. Focus on the texture and strands of hair, showing the individual hair fibers and their natural movement. No background elements or distractions.""","""Background scenery, other animals, human presence, blurry image, the rest of the horse's body, any objects or accessories, text."",Background scenery"
a tongue of a frog,A close-up view of a frog's tongue.,"entire frog, full body, background elements, leaves, full face, eyes, nose"
a fur of a mink,"close-up of mink fur, detailed, soft, luxurious texture, natural brown colors","coat, clothing, model, person, hair, artificial fur, fabric, background objects"
a tusk of a mammoth,"A single, large, curved mammoth tusk displayed prominently against a solid dark background, emphasizing its rugged texture and natural ivory color.","Two tusks, animal horns, background elements, modern objects, stand or holder, distorted shapes., modern objects."
a beak of a toucan,"""A very close-up and detailed view of the colorful beak of a toucan, with vibrant hues and textures visible""","""Whole bird, blurry image, background distractions, any part of the toucan other than the beak, less detail, dull colors"", background distractions"""
a tusk of a narwhal,"Close-up of a narwhal tusk piercing through the underwater ocean, sunlight filtering through the water, with a serene blue background.","Other marine animals, blurry images, human artifacts, text, dark or murky water"
a trunk of a tapir,"a close-up view of the trunk of a tapir, detailed skin texture, focus on the trunk","full body, landscape, background elements, non-tapir elements, abstract, patterns, bright colors"
a shell of a turtle,"a turtle shell, standalone, isolated","complete turtle, turtle head, legs, grass, animal parts, hooves,a complete turtle"
a tail of a lemur,"A detailed close-up shot of a lemur's tail, emphasizing the distinctive black and white rings, with a clear focus on the tail's texture and color pattern.","Face, body, background, environment, other animals, helmet,face"
a tail of a possum,close-up of a possum's tail,"face of a possum, whole possum, background, blurred, lemur, stripe pattern"
a spike of a porcupine,"A highly detailed close-up of a single porcupine quill, showing the intricate textures and natural colors, sharp and clear in focus, realistic portrayal.","blurry, abstract, multiple spikes, entire porcupine, out of focus, cartoonish, digital art, painting, sketch."
a tooth of a beaver,"Close-up of a single beaver tooth, isolated against a plain white background, detailed and sharp focus.","Entire beaver, multiple teeth, grassy background, full beaver body, any part of beaver other than the tooth.,entire beaver, full body of beaver"
a paw of a panda,"A high-resolution, detailed close-up of a panda's paw, focusing on the fur and claws, with a simple background.","Full body panda, face of panda, teeth, background objects, blurry image, and anything other than the paw."
