original_prompt,prompt,negative_prompt
a creature with a body of a goat and a head of a dragonfly and claws of a tiger,"A seamless hybrid creature with the body of a goat, the head of a dragonfly, and the claws of a tiger. Ensure a realistic and natural integration of all elements, creating a unified and harmonious appearance. ","Two separate animals, separate entities, mismatched integration, cartoonish style, human-like features, unrealistic proportions, anthropomorphic elements., unrealistic combination, cartoonish style."
a creature with a body of an alligator and the wingspan of a condor and legs of a kangaroo,"A mythical creature with the body of an alligator, the wingspan of a condor, and the legs of a kangaroo standing in a natural landscape, with a reptilian head and tail matching the body.","Human features, extra heads, mechanical parts, unnatural colors, ears, mammal head., unnatural colors."
a creature with a body of a gorilla and a tail of a rabbit and wings of a dove,"A fantastical creature with the powerful body of a gorilla, the fluffy tail of a rabbit, and elegant wings of a dove, seamlessly blended together.","Separate animals, unrealistic anatomy, cartoon style, multiple heads, unrelated backgrounds."
a creature with a body of an orca and antennae of a grasshopper and fins of a dolphin,"A fantastical creature with the body of an orca, the antennae of a grasshopper, and the fins of a dolphin, gracefully swimming in a vibrant ocean environment filled with colorful coral and various fish.","Multiple creatures, insects separate from the creature, non-ocean settings, inaccurate body parts, dull colors, terrestrial backgrounds., non-ocean settings."
a creature with a body of a tiger and a wingspan of a condor and a tail of a monkey,"A mythical creature with the body of a tiger, the wings of a condor, and the tail of a monkey, in a fantasy style, mid-air, detailed, vibrant colors, dynamic pose.","Separate tiger, condor, and monkey; multiple animals; ground; realistic style; plain background., and monkey; multiple animals; ground; realistic style."
a creature with a body of a toucan and the tail of a rat and wings of a bat,"A fantastical creature with the unified body of a toucan, showcasing its iconic colorful beak, with the added features of a rat's tail and bat-like wings, seamlessly blended into a single cohesive creature.","Separate individual animals, plain backgrounds, and unrealistic separate elements., and unrealistic elements."
a creature with a body of a hawk and a beak of a toucan and legs of a cheetah,"A fantastical creature with the body of a hawk, the colorful beak of a toucan, and the spotted legs of a cheetah. The creature has hawk feathers covering its body, vivid toucan beak, and realistic cheetah legs, rendered with realistic textures and vibrant colors.","Background objects, additional animals, aquatic features, irrelevant elements, multiple creatures, human features., aquatic features."
a creature with a body of a rabbit and a tail of a monkey and fins of a swordfish,"A creature with the body of a rabbit, the tail of a monkey, and the side fins of a swordfish.","Beach, sea, water, sharp fins, weapons, sword, sea creatures, aquatic background, unrealistic features., unrealistic weapons"
a creature with a body of a bat and a tail of a monkey and claws of an eagle,"A creature with the body of a bat, the tail of a monkey, and the claws of an eagle, standing on a grassy platform.","Wings, horns, fantasy elements, background distractions."
a creature with a body of a camel and a snout of a pig and scales of a fish,"A fantastical creature with the body and legs of a camel, the snout of a pig, and covered in iridescent fish-like scales, standing in a surreal landscape.","separate camel and fish, plain camel, standard animals, wings, dragon-like features.,Separate camel and fish, standard animals."
a creature with a body of a squid and a mane of a lion and tail of a skunk,"A creature with the body of a squid, the majestic mane of a lion around its head, and the fluffy tail of a skunk with distinct black and white colors. The creature should boast squid tentacles, lifelike details, and proportions that align with nature, coming together in a harmonious and cohesive design.","Cartoonish style, anthropomorphic features, any other animal features, low detail, unrealistic proportions, overly stylized elements, and non-organic materials., unrealistic proportions."
a creature with a body of a parrot and a head of a cat and fins of a dolphin,"A magical creature with the body of a parrot, the head of a cat, and the fins of a dolphin, seamlessly combined into one cohesive being. The creature should be depicted in a vibrant underwater scene with realistic lighting and water effects, surrounded by diverse marine life and colorful coral reefs.","Separate animals, disjointed parts, unrealistic lighting, bland background, non-underwater scene, human elements, terrestrial scenery, individual animal features not blended into one creature, murky water., human elements."
a creature with a body of a butterfly and legs of a cheetah and wings of a bat,"A fantastical creature with the body of a butterfly, including vibrant patterns and colors, the legs of a cheetah with sleek fur and powerful muscles, and large, menacing wings of a bat with a leathery surface.","Human-like features, cartoonish elements, unrealistic proportions, dull colors., unrealistic colors, cartoonish elements."
a creature with a body of a rooster and a tail of a gecko and claws of a lion,"A fantastical creature with the body of a rooster, the tail of a gecko, and the claws of a lion. The creature should retain the overall form of a rooster but with a distinctive gecko-like tail and imposing lion-like claws. The color scheme should be realistic and natural.","No lion heads, no non-rooster bodies, no other animals, no extra limbs, no unrealistic or cartoonish color schemes, no dragon-like features., and no unrealistic or cartoonish color schemes."
a creature with a body of a snake and a head of a falcon and legs of a cheetah,"A fantastical creature with the body of a snake, the head of a falcon, and the legs of a cheetah.","No wings, no extra legs, no cheetah head, no falcon body, no additional animal features such as extra heads or tails."
a creature with a body of a wolf and a beak of a toucan and wings of a bat,"A majestic, mythical creature with the strong, muscular body of a wolf, the vibrant and colorful beak of a toucan, and large, leathery wings of a bat, standing confidently with a fierce and majestic pose, in a natural, mystical forest setting, with realistic proportions and lifelike details.","Cartoonish features, unrealistic proportions, overly muscular body, distracting background elements, human-like posture, unnatural colors, artificial appearance., background elements that distract from the creature."
a creature with a body of a salamander and a snout of a bear and legs of a kangaroo,"A creature with the body of a salamander, the snout of a bear, and the legs of a kangaroo, featuring amphibian-like smooth skin, bear-like snout and facial features, and powerful kangaroo legs. ","Extra limbs, wings, fur, feathers, human-like features, upright posture, furry texture., human-like features."
a creature with a body of a giraffe and a snout of a pig and fins of a fish,"a fantastical creature with the long neck and body of a giraffe, the snout of a pig, and large, colorful fins of a fish, in a vibrant fantasy style, set in a magical forest with glowing flora, highly detailed and whimsical","normal giraffe, realistic animal, simple design, plain background, missing features, blurry, incomplete"
a creature with a body of a sloth and a head of a crocodile and fins of a marlin,"A creature with the body of a sloth, the head of a crocodile, and the fins of a marlin in an underwater environment, with coral reefs and marine life in the background.","Legs, humanoid features, wings, fur, scales, fish-like bodies., fur."
a creature with a body of a buffalo and a beak of a duck and claws of a lobster,"A hybrid creature with the body of a buffalo, the beak of a duck, and the claws of a lobster, standing in a natural environment, realistic and cohesive design.","Human-like features, extra limbs, unrealistic colors, additional animal features, overly cartoonish elements., unrealistic colors."
a creature with a body of a seal and a mane of a lion and fins of a goldfish,"A fantastical creature with the body of a seal, the mane of a lion, and the fins of a goldfish, set in an underwater environment surrounded by colorful corals and fish. The creature should have a smooth transition between the body parts and appear natural and harmonious, with bright and vivid underwater scenery, gentle sunlight filtering through the water, and a peaceful ambiance.","Additional animal parts, unrealistic colors on the creature, human-like features, cluttered background, overly dark or murky water, jarring transitions between body parts, overly busy scene., cluttered background."
a creature with a body of a camel and a wingspan of a hawk and legs of a cheetah,"A fantastical creature with the body of a camel, the wings of a hawk, and the legs of a cheetah, standing majestically on a vast desert landscape under a clear blue sky. ","Multiple heads, extra limbs, cartoon style, unrealistic proportions., cartoon style."
a creature with a body of a mole and a beak of an eagle and wings of a cockroach,"A creature with the body of a mole, the beak of an eagle, and the wings of a cockroach, seamlessly combined into a single entity.","Eagle body, separate creatures, inaccurate wings, wrong textures, insect appendages, multiple head., wrong textures."
a creature with a body of a cobra and a head of a duck and claws of a bear,"A creature with the slender, scaled body of a cobra, the head of a duck with a beak, and the powerful claws of a bear.","Multiple heads, duck body, additional animals, bird-like elements, multiple creatures, extraneous elements., bear body"
